,City,Latitude,Longitude,Temperature °F,Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
0,Morondava,-19.91389688891502,44.73420201262468,78.21,86.0,100.0,14.88
1,Adrar,28.05702659899626,2.277494454133773,82.45,12.0,79.0,10.33
2,Bluff,-66.70041362912343,154.488687923042,54.09,90.0,100.0,32.86
3,Chuy,-59.696770047312214,-27.91742135674241,77.16,70.0,0.0,10.74
4,Hilo,11.918788109674878,-150.4524201498027,62.17,68.0,75.0,5.75
5,Katsuura,30.709107798608542,143.18845294275036,42.35,75.0,20.0,5.75
6,Port Alfred,-83.1903874235366,46.50652174788317,77.0,89.0,38.0,1.99
7,Caravelas,-17.79267642996119,-36.48383741798952,85.57,55.0,0.0,9.89
8,Illoqqortoormiut,85.02214122478858,-11.80971343714404,,,,
9,New Norfolk,-57.44012747964211,132.2696594849386,51.19,66.0,0.0,2.71
10,Rikitea,-20.92555443105104,-129.05857795455563,78.21,75.0,64.0,9.69
11,Manakara,-21.83871436577445,48.29667370844311,76.57,86.0,100.0,1.19
12,Ushuaia,-72.06133771277533,-42.639597410112344,78.8,29.0,20.0,13.8
13,Belushya Guba,82.42432519880751,52.38733278488448,,,,
14,Cape Town,-58.23978649187403,-8.158607546362816,73.9,73.0,0.0,20.71
15,Yadgir,16.65733028778058,77.08749544856198,72.86,23.0,0.0,6.24
16,Ribeira Grande,33.9016532184003,-43.2203696335317,62.6,67.0,40.0,23.02
17,Tolmezzo,46.29742560719586,12.955110126874132,42.64,98.0,100.0,5.99
18,Lebu,-28.834505130616506,-100.40712530209329,70.48,60.0,1.0,8.16
19,Kijang,1.2643567771484925,105.94164492563897,41.0,48.0,0.0,8.05
20,Alekseyevsk,56.80066119621989,108.7903244238982,-6.05,88.0,26.0,2.91
21,Punta Arenas,-63.5194194903191,-101.43879531038667,60.39,67.0,0.0,9.22
22,Arraial Do Cabo,-43.77461260905229,-28.00215851675759,82.15,69.0,40.0,12.66
23,Shimoda,28.20338976621794,140.39787706807869,39.99,65.0,8.0,1.99
24,Qaanaaq,78.33571779724645,-86.19463206672613,1.38,71.0,22.0,9.04
25,Upernavik,87.44550000220127,-48.36298822418348,4.75,90.0,2.0,10.58
26,Kapaa,34.37882722147964,-175.95980946531517,69.8,52.0,20.0,17.27
27,Butaritari,21.489042635325703,171.82047470869776,81.07,77.0,78.0,15.37
28,Rebokon,7.743088309857839,123.39122603903559,,,,
29,Barentsburg,78.4172156891081,2.1259420567685368,,,,
30,Lolua,-4.260587601525486,177.80365014018162,,,,
31,Vaitupu,6.639730599227562,-179.98948259629222,,,,
32,Castro,-44.66137123198367,-82.49086384193606,74.57,55.0,90.0,3.09
33,Viligili,-0.6455011434070457,79.43907718045091,,,,
34,Evanston,41.40509286237369,-111.12378773033073,13.35,61.0,90.0,4.61
35,Mataura,-73.10188400395305,-153.39306041838748,49.26,92.0,100.0,13.76
36,Alice Springs,-24.663002165322027,137.80751825798995,86.56,58.0,16.0,6.91
37,Ponta Do Sol,34.479800842457195,-21.234393178053807,62.1,85.0,75.0,1.99
38,Tuktoyaktuk,69.38595778790716,-131.1243208228916,-31.0,68.0,1.0,9.22
39,Wahiawa,23.828767369347688,-157.3596928781604,57.38,88.0,1.0,6.91
40,Conde,-13.588672147425228,-34.68627527839993,87.8,62.0,75.0,12.66
